,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
80,St. Louis Hawks*,45,35,0.563,4.0,108.8,105.8,2.68,1965
81,Baltimore Bullets*,37,43,0.463,12.0,113.6,115.8,-1.97,1965
82,Detroit Pistons,31,49,0.388,18.0,108.5,111.9,-3.03,1965
83,San Francisco Warriors,17,63,0.213,32.0,105.8,112.0,-5.49,1965
84,Philadelphia 76ers*,55,25,0.688,—,117.3,112.7,4.16,1966
85,Boston Celtics*,54,26,0.675,1.0,112.7,107.8,4.34,1966
86,Cincinnati Royals*,45,35,0.563,10.0,117.8,116.6,1.03,1966
87,New York Knicks,30,50,0.375,25.0,116.7,119.3,-2.31,1966
88,Los Angeles Lakers*,45,35,0.563,—,119.5,116.4,2.76,1966
89,Baltimore Bullets*,38,42,0.475,7.0,118.3,119.5,-1.06,1966
90,St. Louis Hawks*,36,44,0.45,9.0,111.4,112.0,-0.5,1966
91,San Francisco Warriors,35,45,0.438,10.0,115.5,118.2,-2.36,1966
92,Detroit Pistons,22,58,0.275,23.0,110.3,117.2,-6.07,1966
93,Philadelphia 76ers*,68,13,0.84,—,125.2,115.8,8.5,1967
94,Boston Celtics*,60,21,0.741,8.0,119.3,111.3,7.24,1967
95,Cincinnati Royals*,39,42,0.481,29.0,117.1,117.4,-0.23,1967
96,New York Knicks*,36,45,0.444,32.0,116.4,119.4,-2.74,1967
97,Baltimore Bullets,20,61,0.247,48.0,115.5,122.0,-5.87,1967
98,San Francisco Warriors*,44,37,0.543,—,122.4,119.5,2.58,1967
99,St. Louis Hawks*,39,42,0.481,5.0,113.6,115.2,-1.44,1967
100,Los Angeles Lakers*,36,45,0.444,8.0,120.5,120.2,0.31,1967
101,Chicago Bulls*,33,48,0.407,11.0,113.2,116.9,-3.37,1967
102,Detroit Pistons,30,51,0.37,14.0,111.3,116.8,-4.98,1967
103,Philadelphia 76ers*,62,20,0.756,—,122.6,114.0,7.96,1968
104,Boston Celtics*,54,28,0.659,8.0,116.1,112.0,3.87,1968
105,New York Knicks*,43,39,0.524,19.0,116.1,114.3,1.78,1968
106,Detroit Pistons*,40,42,0.488,22.0,118.6,120.6,-1.7,1968
107,Cincinnati Royals,39,43,0.476,23.0,116.6,117.5,-0.64,1968
108,Baltimore Bullets,36,46,0.439,26.0,117.4,117.8,-0.23,1968
109,St. Louis Hawks*,56,26,0.683,—,113.0,110.3,2.37,1968
110,Los Angeles Lakers*,52,30,0.634,4.0,121.2,115.6,4.99,1968
111,San Francisco Warriors*,43,39,0.524,13.0,117.0,117.6,-0.66,1968
112,Chicago Bulls*,29,53,0.354,27.0,109.5,113.5,-3.76,1968
113,Seattle SuperSonics,23,59,0.28,33.0,118.7,125.1,-6.0,1968
114,San Diego Rockets,15,67,0.183,41.0,112.4,121.0,-7.94,1968
115,Baltimore Bullets*,57,25,0.695,—,116.4,112.1,4.05,1969
116,Philadelphia 76ers*,55,27,0.671,2.0,118.9,113.8,4.79,1969
117,New York Knicks*,54,28,0.659,3.0,110.8,105.1,5.48,1969
118,Boston Celtics*,48,34,0.585,9.0,111.0,105.4,5.35,1969
119,Cincinnati Royals,41,41,0.5,16.0,114.5,115.6,-0.83,1969
120,Detroit Pistons,32,50,0.39,25.0,114.1,117.3,-2.79,1969
121,Milwaukee Bucks,27,55,0.329,30.0,110.2,115.4,-5.07,1969
122,Los Angeles Lakers*,55,27,0.671,—,112.2,108.1,3.84,1969
123,Atlanta Hawks*,48,34,0.585,7.0,111.3,109.0,2.06,1969
